Date,T2M,RH2M,WS2M,WD2M,PRECTOTCORR,CLOUD_AMT
2015-01-01,24.06,86.74,2.04,254.8,0.58,47.77
2015-01-02,22.92,79.49,1.52,277.5,0.0,25.55
2015-01-03,23.34,76.57,0.9,16.4,0.0,41.62
2015-01-04,23.75,84.81,1.41,64.6,0.0,32.66
2015-01-05,23.41,87.4,2.02,53.9,0.0,33.4
2015-01-06,23.86,83.47,1.71,40.4,0.0,40.11
2015-01-07,23.23,84.31,1.63,42.4,0.0,55.39
2015-01-08,23.77,84.71,1.29,49.2,0.03,49.97
2015-01-09,23.66,86.56,1.85,58.3,0.02,57.45
2015-01-10,22.81,86.3,2.68,50.7,0.0,55.19
2015-01-11,21.2,83.88,3.03,46.7,0.0,27.55
2015-01-12,21.08,82.19,2.54,45.0,0.0,46.18
2015-01-13,21.12,82.1,2.44,40.0,0.0,38.37
2015-01-14,21.9,84.19,2.06,48.3,0.0,44.65
2015-01-15,21.87,81.39,2.13,49.7,0.0,47.4
2015-01-16,22.44,83.59,2.2,52.9,0.0,25.67
2015-01-17,23.89,85.12,3.0,54.8,0.0,50.71
2015-01-18,23.63,82.68,3.03,50.2,0.0,47.05
2015-01-19,22.86,80.28,2.94,52.6,0.0,39.94
2015-01-20,22.32,81.33,2.74,50.5,0.0,30.66
2015-01-21,22.88,80.3,3.3,51.7,0.11,41.62
2015-01-22,22.85,78.23,2.48,46.5,0.45,32.52
2015-01-23,24.32,80.25,2.28,61.0,0.04,52.65
2015-01-24,24.31,80.36,2.88,54.3,0.0,55.01
2015-01-25,24.36,78.42,3.53,58.0,0.01,64.78
2015-01-26,23.94,77.4,3.45,50.3,0.0,39.56
2015-01-27,24.05,77.48,3.4,58.4,0.0,59.92
2015-01-28,24.71,78.76,3.29,57.3,0.0,53.92
2015-01-29,25.07,77.95,2.08,50.5,0.01,54.86
2015-01-30,24.91,78.58,2.57,58.4,0.0,58.65
2015-01-31,24.44,73.21,3.45,55.3,0.0,53.1
2015-02-01,24.46,74.07,3.32,55.0,0.0,28.81
2015-02-02,24.52,73.24,3.99,53.3,0.0,51.91
2015-02-03,24.68,73.09,4.51,51.3,0.0,54.2
2015-02-04,23.99,77.32,4.04,46.6,0.14,85.44
2015-02-05,24.66,76.63,4.12,54.7,0.06,87.74
2015-02-06,24.84,75.69,3.39,53.2,0.02,56.74
2015-02-07,24.98,73.13,2.83,50.2,0.01,42.83
2015-02-08,25.34,69.43,2.53,46.2,0.0,28.47
2015-02-09,25.62,72.51,2.96,57.9,0.06,53.09
2015-02-10,24.89,76.67,3.38,51.2,0.13,84.35
2015-02-11,25.65,73.8,2.98,50.8,0.01,55.35
2015-02-12,26.39,72.64,3.36,57.7,0.0,36.02
2015-02-13,26.5,73.37,2.52,57.6,0.0,41.89
2015-02-14,26.18,71.56,2.19,62.4,0.0,48.59
2015-02-15,25.44,66.54,2.51,56.4,0.0,26.89
2015-02-16,24.63,67.31,2.69,64.3,0.0,52.06
2015-02-17,24.87,66.2,1.84,60.6,0.0,85.24
2015-02-18,24.53,61.61,1.96,71.5,0.0,95.45
2015-02-19,24.77,61.94,1.96,66.6,0.0,46.07
2015-02-20,24.52,65.93,3.07,62.6,0.0,31.62
2015-02-21,25.21,69.15,3.51,58.7,0.0,30.12
2015-02-22,25.15,65.79,3.23,56.7,0.0,26.7
2015-02-23,25.38,65.26,2.91,57.6,0.0,31.93
2015-02-24,25.93,70.95,2.29,63.0,0.0,40.32
2015-02-25,27.2,69.6,1.88,79.6,0.02,44.72
2015-02-26,27.8,67.62,1.22,137.3,0.71,50.5
2015-02-27,27.44,69.05,1.2,241.2,0.41,66.98
2015-02-28,28.0,66.85,1.27,180.5,0.18,55.42
2015-03-01,28.43,63.84,1.47,159.4,0.01,32.36
2015-03-02,29.05,60.96,1.24,184.7,0.01,68.6
2015-03-03,28.96,61.75,1.44,146.8,0.08,67.24
2015-03-04,28.38,63.67,1.05,240.7,0.08,66.46
2015-03-05,29.14,59.43,1.74,121.8,0.01,61.97
2015-03-06,28.52,63.29,1.57,110.1,0.11,51.61
2015-03-07,28.59,62.57,1.75,82.7,0.1,47.29
2015-03-08,28.08,59.32,2.83,80.7,0.02,41.39
2015-03-09,28.45,60.6,2.32,85.9,0.03,56.69
2015-03-10,28.49,56.16,2.34,68.1,0.0,43.49
2015-03-11,27.37,60.3,3.52,64.2,0.0,37.85
2015-03-12,28.48,61.77,3.51,63.8,0.05,44.4
2015-03-13,28.58,61.85,3.26,68.0,0.33,56.12
2015-03-14,27.49,68.18,3.27,74.8,6.48,88.33
2015-03-15,26.66,76.12,2.32,92.0,7.1,48.75
2015-03-16,27.13,76.05,2.39,83.1,3.61,67.51
2015-03-17,28.05,67.98,1.85,58.8,0.43,35.64
2015-03-18,26.58,63.08,1.21,75.0,0.0,38.85
2015-03-19,27.5,60.61,1.52,98.2,0.0,21.02
2015-03-20,27.41,61.18,1.82,82.7,0.0,31.67
2015-03-21,27.56,66.03,2.53,74.4,0.03,31.48
2015-03-22,27.76,61.86,2.11,91.0,0.0,25.71
2015-03-23,28.95,60.18,1.64,122.0,0.0,26.03
2015-03-24,29.72,61.48,1.5,164.1,0.0,25.63
2015-03-25,29.29,60.39,1.8,134.5,0.0,32.06
2015-03-26,28.75,60.74,2.48,82.3,0.0,36.52
2015-03-27,29.14,61.51,2.71,68.0,0.17,54.02
2015-03-28,29.18,61.17,2.74,78.7,1.86,67.33
2015-03-29,28.69,67.05,2.22,89.5,3.24,56.45
2015-03-30,28.14,68.26,1.72,105.5,1.34,67.81
2015-03-31,27.47,74.87,1.11,97.4,10.69,94.39
2015-04-01,27.7,74.36,1.32,111.6,3.54,94.89
2015-04-02,28.7,68.97,1.42,169.9,1.44,89.75
2015-04-03,29.37,65.26,2.2,259.6,0.25,41.07
2015-04-04,29.08,69.31,1.93,265.1,0.16,48.36
2015-04-05,29.91,65.06,1.47,195.2,0.08,33.46
2015-04-06,29.7,64.26,1.55,200.1,0.01,54.82
2015-04-07,28.68,70.71,1.78,221.5,2.05,57.66
2015-04-08,26.83,73.51,1.91,78.6,9.53,98.21
2015-04-09,27.07,73.01,1.79,101.5,1.59,77.05
2015-04-10,27.04,77.36,0.98,117.2,3.11,78.73
2015-04-11,28.04,73.51,1.2,216.5,12.39,80.51
2015-04-12,27.54,75.63,1.09,257.1,17.0,66.23
2015-04-13,27.15,73.86,1.08,138.1,6.21,77.4
2015-04-14,27.1,73.44,1.17,120.9,2.19,52.07
2015-04-15,27.77,72.59,1.15,179.5,7.18,63.55
2015-04-16,27.71,72.15,0.94,213.4,3.93,66.53
2015-04-17,27.81,74.59,1.21,301.1,11.15,54.46
2015-04-18,27.93,74.93,1.03,289.8,3.85,30.71
2015-04-19,27.61,76.58,0.76,199.6,0.81,59.5
2015-04-20,27.22,79.19,1.15,54.8,16.35,98.28
2015-04-21,26.18,82.64,1.2,31.4,25.6,98.52
2015-04-22,25.49,86.29,1.42,298.1,19.0,66.84
2015-04-23,26.36,84.36,1.75,252.8,0.2,56.5
2015-04-24,27.03,82.14,1.38,266.2,2.74,80.54
2015-04-25,26.54,75.25,1.41,350.5,6.62,88.07
2015-04-26,27.44,70.73,1.27,133.3,0.42,51.41
2015-04-27,27.31,74.67,1.09,118.3,0.5,80.78
2015-04-28,27.44,76.73,0.96,102.9,0.39,52.12
2015-04-29,28.35,72.69,0.83,229.6,0.02,29.51
2015-04-30,27.67,78.3,1.86,267.0,0.03,64.78
2015-05-01,28.45,75.25,1.44,260.8,0.06,59.84
2015-05-02,27.32,80.73,2.07,267.2,0.08,45.31
2015-05-03,27.1,81.36,2.03,275.2,0.09,41.68
2015-05-04,27.35,78.28,1.43,264.3,1.05,59.06
2015-05-05,27.26,77.9,1.27,258.6,0.56,92.55
2015-05-06,27.15,78.16,1.36,249.6,0.36,72.51
2015-05-07,27.32,77.98,1.9,251.7,0.78,77.72
2015-05-08,27.83,74.6,2.21,289.7,4.58,59.59
2015-05-09,26.9,84.62,2.21,290.2,5.22,83.59
2015-05-10,27.23,77.73,1.36,299.9,2.32,99.67
2015-05-11,25.73,82.17,1.58,31.9,15.36,99.24
2015-05-12,26.86,70.86,0.97,3.4,6.72,95.8
2015-05-13,26.86,80.47,1.35,229.5,5.54,97.77
2015-05-14,27.25,81.21,1.6,247.2,8.58,92.27
